cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/28/2020,10/25/2020,SurveyMonkey,654,lv,.3558495,.3558495,31,29.72329,29.76474,T,71978,134981
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/26/2020,10/24/2020,SurveyMonkey,649,lv,.0242797,.024138,31,29.72329,29.77189,T,71893,134807
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/26/2020,10/23/2020,SurveyMonkey,638,lv,0,0,31,29.72329,29.78049,T,71826,134672
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/25/2020,10/22/2020,SurveyMonkey,616,lv,.0117838,.0113713,30,28.73825,28.84013,T,71765,134541
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/24/2020,10/21/2020,SurveyMonkey,605,lv,.0115472,.0110756,31,29.72329,29.83638,T,71682,134342
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/23/2020,10/20/2020,SurveyMonkey,597,lv,.0113715,.0108407,32,30.70911,30.83489,T,71569,134117
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/22/2020,10/19/2020,SurveyMonkey,579,lv,.0110091,.010431,32,30.70911,30.84486,T,71467,133905
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/21/2020,10/18/2020,SurveyMonkey,558,lv,.0105935,.0099754,33,31.69571,31.84945,T,71382,133721
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/20/2020,10/17/2020,SurveyMonkey,553,lv,.0104849,.009812,33,31.69571,31.86553,T,71300,133560
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/19/2020,10/16/2020,SurveyMonkey,531,lv,.0100569,.0093528,33,31.69571,31.88561,T,71242,133443
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/18/2020,10/15/2020,SurveyMonkey,499,lv,.0094428,.0087266,34,32.68307,32.8931,T,71181,133316
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/16/2020,10/14/2020,SurveyMonkey,450,lv,.0164332,.015091,36,34.6601,34.89785,T,71107,133166
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/16/2020,10/13/2020,SurveyMonkey,416,lv,0,0,36,34.6601,34.91973,T,71013,132959
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/15/2020,10/12/2020,SurveyMonkey,409,lv,.0077304,.0070088,35,33.6712,33.95067,T,70975,132805
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,6/8/2020,6/30/2020,SurveyMonkey,98,lv,.1104814,.0189507,22.22,21.10254,21.97317,"",70447,131301
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,7/1/2020,7/31/2020,SurveyMonkey,246,lv,.1836011,.0604148,27.69,26.46586,27.36847,"",70397,131199
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,8/1/2020,8/31/2020,SurveyMonkey,211,lv,.1186855,.0674444,25.07,23.89379,24.71625,"",70347,131097
2020,Wyoming,10/27/2020,Joseph R. Biden Jr.,9/1/2020,9/30/2020,SurveyMonkey,236,lv,.0582002,.0480134,33.86,32.5448,33.19572,T,70295,130990
2020,Wisconsin,10/27/2020,Joseph R. Biden Jr.,9/27/2020,10/25/2020,SurveyMonkey,4466,lv,.5723285,.1010528,55,53.27675,53.35227,T,71980,134983
2020,Wisconsin,10/27/2020,Joseph R. Biden Jr.,10/20/2020,10/26/2020,Ipsos,664,lv,.8276814,.7172713,53,53.52847,53.57899,"",71975,134924
2020,Wisconsin,10/27/2020,Joseph R. Biden Jr.,10/13/2020,10/21/2020,YouGov,647,lv,.6516947,.3107423,53,53.14926,53.15613,"",71948,134867
